Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity
1,1244,1,282,706,706,706,706
2,1959,1,497,712,720,706,711
3,1959,1,659,712,738,706,715
4,2437,1,832,720,747,706,720
5,2437,37,1025,720,761,706,730
6,2463,1,1111,733,787,708,739
7,2571,156,1159,824,825,712,775
8,2571,63,1256,824,875,733,815
9,2571,63,1283,824,903,733,850
10,2571,1,1314,824,959,733,864
11,3000,89,1455,893,1004,733,882
12,3000,824,1518,893,1073,733,896
13,3000,926,1606,893,1173,733,920
14,3000,716,1578,893,1138,733,929
15,3000,964,1608,893,1140,733,926
16,3000,878,1581,893,1143,733,931
17,3000,798,1581,893,1245,733,962
18,3000,828,1656,893,1255,733,987
19,3000,856,1615,893,1354,733,988
20,3000,860,1658,893,1461,733,1011
21,3908,511,1693,1146,1339,733,995
22,3908,970,1760,1146,1360,733,1006
23,3908,799,1799,1146,1350,733,1021
24,3908,1031,1835,1146,1455,733,1109
25,3908,1031,1846,1146,1444,733,1093
26,3908,995,1805,1146,1447,733,1095
27,3908,981,1828,1146,1439,733,1100
28,3908,1031,1878,1146,1515,733,1127
29,3908,962,1835,1146,1640,733,1145
30,3908,911,1914,1146,1638,733,1162
31,3908,1031,1942,1146,1633,733,1160
32,3908,871,2106,1146,1626,824,1217
33,3908,1032,2064,1146,1634,893,1301
34,3908,1031,2075,1146,1621,949,1322
35,3908,894,2060,1146,1660,949,1326
36,3908,1070,2210,1146,1776,949,1355
37,3908,1081,2159,1146,1827,949,1381
38,3908,1031,2151,1146,1818,949,1439
39,3908,1031,2227,1146,1840,949,1465
40,3908,1096,2190,1146,1853,949,1465
41,3908,1271,2272,1146,1835,949,1437
42,3908,1274,2218,1146,1814,949,1487
43,3908,1032,2208,1146,1826,949,1483
44,3956,991,2192,1842,1855,949,1481
45,3956,1031,2298,1842,2015,949,1492
46,3956,1113,2244,1842,2015,949,1495
47,3956,1031,2278,1842,2223,949,1555
48,3956,1032,2317,1842,2444,1146,1590
49,3956,1351,2381,1842,2449,1146,1599
50,3956,812,2301,1842,2443,1146,1597
51,3956,901,2277,1842,2650,1146,1673
52,3956,1165,2356,1842,2648,1146,1730
53,3956,1031,2337,1842,2686,1146,1790
54,3956,771,2289,1842,2954,1146,1845
55,3956,825,2354,1842,2970,1146,1852
56,3956,715,2421,1842,2942,1146,1944
57,3956,1031,2423,1842,2966,1146,1956
58,3956,973,2345,1842,2970,1146,2001
59,3956,856,2274,1842,2969,1146,2000
60,3956,1002,2463,1842,2990,1146,1974
61,3956,975,2353,1842,2983,1146,2019
62,3956,957,2366,1842,2968,1146,2009
63,3956,994,2358,1842,2965,1146,2013
64,3956,823,2378,1842,2962,1146,2036
65,3956,1008,2415,1842,2964,1146,2036
66,3956,916,2369,1842,2979,1146,2036
67,3956,1233,2441,1842,3232,1146,2088
68,3956,1268,2503,1842,3294,1146,2154
69,3956,1162,2362,1842,3290,1146,2160
70,3956,921,2348,1842,3281,1146,2150
71,3956,1175,2326,1842,3283,1146,2141
72,3956,825,2411,1842,3286,1146,2157
73,3956,1093,2410,1842,3319,1146,2157
74,3956,1032,2357,1842,3322,1146,2158
75,3956,1283,2449,1842,3274,1146,2155
76,4260,969,2453,2664,3315,1146,2156
77,4260,930,2351,2664,3278,1146,2178
78,4260,1152,2396,2664,3302,1146,2177
79,4260,1170,2543,2664,3550,1146,2300
80,4260,1045,2378,2664,3625,1146,2314
81,4785,1031,2505,1394,3651,1146,2316
82,4785,694,2346,1394,3628,1146,2343
83,4785,859,2414,1394,3624,1146,2332
84,4785,816,2552,1394,3625,1146,2375
85,4785,980,2461,1394,3618,1146,2362
86,4785,778,2527,1394,3934,1146,2490
87,4785,1095,2511,1394,3954,1146,2476
88,4620,1261,2488,1394,3949,1146,2491
89,4785,710,2492,1394,3968,1146,2485
90,4785,892,2539,1394,3965,1146,2484
91,4620,749,2544,1394,3932,1146,2507
92,4785,1119,2516,1394,3928,1146,2524
93,4620,753,2471,1394,3948,1146,2541
94,4785,844,2491,1394,3965,1146,2550
95,4785,1111,2475,1394,3640,1146,2425
96,4785,1175,2516,1394,3961,1146,2468
97,4785,879,2481,1394,3967,1146,2468
98,4785,934,2488,1394,3927,1146,2462
99,4620,864,2594,1394,3957,1146,2459
100,4785,1111,2420,1394,3958,1146,2468
101,4785,937,2500,1394,3937,1146,2452
102,4834,850,2575,1498,3947,1146,2461
103,4834,988,2597,1498,3905,1146,2419
104,4834,856,2561,1498,3931,1146,2410
105,4834,1223,2642,1498,3913,1146,2409
106,4834,743,2476,1498,3926,1146,2428
107,4834,1018,2547,1498,3930,1146,2473
108,4834,812,2527,1498,3923,1146,2443
109,4834,958,2597,1498,3918,1146,2457
110,4834,975,2584,1498,3926,1146,2406
111,4834,938,2563,1498,3931,1146,2395
112,4834,763,2536,1498,3913,1146,2361
113,4834,1223,2608,1498,3933,1146,2359
114,4834,1031,2526,1498,3921,1146,2361
115,4834,774,2491,1498,3902,1146,2364
116,4834,1031,2640,1498,3935,1146,2345
117,4834,880,2598,1498,3932,1146,2364
118,4834,801,2641,1498,3907,1146,2357
119,4834,1170,2648,1498,3917,1146,2334
120,4834,1202,2669,1498,3938,1146,2351
121,4834,1233,2620,1498,3945,1146,2302
122,4834,1034,2648,1498,3914,1146,2305
123,4834,621,2620,1498,3921,1146,2309
124,4834,1190,2564,1498,3932,1146,2317
125,4834,974,2668,1498,3904,1146,2309
126,4834,762,2636,1498,3925,1146,2327
127,4834,1031,2540,1498,3923,1146,2300
128,4834,1031,2529,1498,3923,1146,2325
129,4834,997,2674,1498,3894,1146,2306
130,4834,1031,2600,1498,3966,1146,2310
131,4834,918,2630,1498,3904,1146,2325
132,4834,635,2603,1498,3908,1146,2368
133,4834,1027,2700,1498,3908,1146,2305
134,4834,964,2670,1498,3920,1146,2314
135,4834,1111,2558,1498,3955,1394,2348
136,4834,1095,2623,1498,3933,1394,2345
137,4834,1031,2631,1498,3927,1394,2361
138,4834,1031,2620,1498,3907,1394,2362
139,4834,617,2635,1498,3917,1394,2360
140,4834,999,2541,1498,3939,1394,2295
141,4834,690,2556,1498,3918,1394,2276
142,4834,1095,2536,1498,3914,1498,2334
143,4834,731,2653,1498,3923,1498,2308
144,4834,710,2604,1498,3925,1498,2310
145,4834,1044,2620,1498,3908,1498,2308
146,4834,1031,2542,1498,3936,1498,2358
147,4933,991,2640,1929,3947,1498,2359
148,4933,931,2628,1929,3919,1498,2382
149,4933,1031,2604,1929,3917,1498,2383
150,4933,858,2574,1929,3915,1498,2383
151,4933,747,2760,1929,3911,1498,2384
152,4933,1018,2630,1929,3929,1498,2381
153,4933,891,2724,1929,3913,1498,2304
