Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
1,1035,1,328,146,146,146,146,1
2,1464,1,458,146,152,146,146,1
3,1464,1,572,146,156,146,147,1
4,1898,1,716,148,154,146,148,1
5,1898,32,791,148,159,146,149,3
6,1898,12,938,148,167,146,155,3
7,3425,1,875,148,175,148,158,3
8,3425,161,1028,148,175,148,158,5
9,4699,195,1085,153,181,148,161,5
10,9542,151,1179,174,189,150,166,7
11,9783,43,1336,174,187,150,168,11
12,9294,4,1399,174,192,153,170,12
13,10318,151,2290,179,193,153,175,16
14,12463,29,2685,190,202,153,178,18
15,12463,178,3172,190,210,153,183,21
16,12463,519,3082,190,214,153,184,22
17,12463,162,3398,190,216,153,188,23
18,12463,175,3806,190,216,153,190,24
19,12463,201,4155,190,223,153,190,23
20,12463,175,4313,190,233,153,195,23
21,12463,624,4121,190,233,153,196,23
22,12463,189,4028,190,233,153,195,25
23,12463,775,4475,190,240,160,202,24
24,12463,361,4860,190,240,173,205,23
25,12463,755,5242,190,247,173,205,24
26,12463,393,4820,190,245,173,205,26
27,12463,371,5413,190,246,173,205,22
28,12463,723,5341,190,260,173,207,24
29,12463,723,5205,190,255,173,207,26
30,12463,228,5474,190,257,173,208,27
31,12463,723,5363,190,264,173,209,26
32,12463,359,5303,190,261,173,212,26
33,12463,719,5431,190,258,177,216,26
34,12463,1031,5619,190,263,177,215,26
35,12463,653,5879,190,275,177,220,26
36,12463,640,5099,190,269,177,219,23
37,12463,627,5932,190,270,177,219,23
38,12463,865,5427,190,286,177,223,23
39,12463,1031,5542,190,284,177,223,27
40,12463,835,5750,190,284,177,223,26
41,12585,889,5833,201,287,177,223,25
42,12585,949,5180,201,290,177,224,29
43,12585,1007,5867,201,288,177,223,27
44,12585,711,6003,201,305,190,231,24
45,12585,1031,5541,201,304,190,231,25
46,12585,29,5445,201,306,190,228,25
47,12585,190,5151,201,302,190,228,23
48,12585,828,5273,201,306,190,233,25
49,12585,29,5561,201,310,190,231,23
50,12585,54,5750,201,311,190,231,23
51,12585,545,5476,201,311,190,232,24
52,12585,537,6003,201,311,190,232,25
53,12585,638,5720,201,321,190,234,26
54,12585,889,5568,201,331,190,235,27
55,12585,792,5574,201,334,190,234,27
56,12585,723,5932,201,332,190,235,29
57,12585,1033,6456,201,334,190,235,24
58,12585,911,6133,201,335,190,235,28
59,12585,373,5902,201,336,190,235,29
60,12585,1033,6060,201,339,190,235,26
61,12585,911,5373,201,351,190,240,29
62,12585,703,5739,201,363,190,241,28
63,12585,213,5125,201,366,190,241,27
64,12585,223,5490,201,370,190,242,31
65,12585,920,5751,201,361,190,242,30
66,12585,534,5831,201,369,190,242,27
67,12585,844,5543,201,361,190,242,28
68,12585,550,5907,201,361,190,242,30
69,12585,565,5688,201,360,190,243,28
70,12752,844,5890,231,361,190,243,31
71,12752,634,5823,231,361,190,243,31
72,12752,1213,6301,231,361,190,242,30
