Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
1,7062,1,1372,706,706,706,706,1
2,7062,1,2326,706,722,706,710,1
3,8222,1,3553,716,738,706,716,1
4,10903,26,5682,729,746,706,725,1
5,11664,191,6517,738,762,714,738,1
6,11833,222,7743,746,775,714,747,3
7,13658,3353,8748,787,812,725,774,6
8,15226,3104,9153,778,847,763,804,9
9,15448,3089,9575,789,860,763,810,14
10,15448,2324,9916,789,902,763,832,20
11,16719,5775,10183,882,953,763,858,23
12,17399,4458,10826,900,961,763,866,26
13,18466,6928,11306,931,1030,763,892,28
14,18466,4560,11758,931,1098,763,917,27
15,20661,6944,12576,929,1095,778,952,26
16,20661,3079,12734,929,1138,778,974,29
17,24382,1495,12866,990,1176,778,990,33
18,24382,6547,13738,990,1235,801,1017,31
19,24382,6038,13999,990,1317,801,1032,29
20,24382,6696,13692,990,1320,882,1064,30
21,25853,7003,14268,1019,1334,900,1082,33
22,29320,7270,15149,982,1327,900,1100,32
23,29320,7194,15645,982,1320,929,1103,31
24,29320,7893,16225,982,1330,929,1131,38
25,29320,6670,17130,982,1414,929,1161,34
26,29320,8111,17536,982,1491,982,1186,30
27,35241,7424,18186,1196,1498,982,1195,32
28,35241,7404,18704,1196,1569,982,1211,33
29,35360,6900,18819,1379,1567,982,1235,29
30,35360,5833,17981,1379,1534,982,1272,38
31,35360,6365,19062,1379,1614,982,1285,35
32,39601,4940,19757,1345,1639,982,1285,37
33,39601,6963,20188,1345,1738,982,1333,34
34,39601,6887,19864,1345,1730,982,1327,35
35,39601,6657,20258,1345,1729,982,1355,39
36,40588,5452,20803,1483,1871,982,1421,33
37,40588,4861,22579,1483,1878,1030,1450,32
38,55496,6621,23865,1627,1884,1186,1481,27
39,55496,6302,23340,1627,1878,1196,1505,36
40,55496,6442,24129,1627,2019,1196,1571,37
41,55496,6072,27258,1627,2202,1196,1676,42
42,55496,7876,27294,1627,2215,1278,1827,45
43,55496,4925,29103,1627,2384,1345,1873,50
44,55496,6951,29578,1627,2583,1483,1978,49
45,55496,8147,30889,1627,2582,1591,2007,50
46,56082,7271,32133,2063,2435,1591,2030,64
47,56082,9184,31242,2063,2673,1591,2089,57
48,55496,8583,30700,1627,2711,1591,2105,64
49,56082,7680,32320,2063,2666,1627,2092,60
50,59171,10297,32955,2421,2661,1627,2123,69
51,59171,9191,34036,2421,2898,1627,2244,64
52,62765,7971,33443,1906,3029,1627,2240,65
53,62765,10335,36230,1906,3382,1627,2256,57
54,62765,6465,35815,1906,3369,1627,2277,61
55,62765,11735,36235,1906,2749,1627,2235,62
56,62765,8592,36572,1906,2766,1627,2259,61
57,62765,9501,35268,1906,2754,1627,2246,59
58,62765,9800,36627,1906,3010,1627,2273,54
59,62765,11322,36768,1906,2998,1627,2250,51
60,62765,10891,36443,1906,2998,1627,2279,43
61,62765,10196,35592,1906,3013,1627,2341,40
62,62765,10073,36014,1906,3000,1627,2338,39
63,62765,10198,34923,1906,3051,1627,2364,49
64,62765,11155,38015,1906,3049,1627,2360,49
65,62765,8319,34656,1906,3400,1627,2416,48
66,62765,12379,36998,1906,3389,1627,2432,51
67,63589,7042,36976,2249,3388,1627,2488,42
68,63589,10517,36835,2249,3393,1627,2513,50
69,63589,8635,38146,2249,3427,1627,2563,49
